formation.name;Period;Age;AlphaForm;BetaSimForm;BetaWForm;GammaForm;CollpF;Duration;RefForm;Environments;Htaxa;maxGCD;medianGCD;madGCD
Chemung;Devonian;379.9;3.6828;0.933075231;16.43492104;43.768;71;0;4;1;2;840.9010591;259.1904116;179.2214178
Chhidru;Permian;254.8675862;13.5399;0.880335902;11.56184154;142.864;145;3.35;13;2;3;145.6286397;102.8657662;38.74399754
Chipola;Neogene;18.2;32.109;0.831643663;10.52271454;324.944;81;0;7;2;3;530.9018427;169.8810204;109.6606459
Choptank;Neogene;13.3512963;21.4628;0.837532072;7.068240626;144.348;27;1.16;6;3;3;141.3604725;99.52392873;40.65734732
Ciply-Malogne Phosphatic Chalk;Cretaceous;68.3215;4.228;0.832645141;7.569433123;24.404;40;0;4;1;1;0;0;0
Clayton;Paleogene;63.8715;4.9716;0.918326851;13.98213909;55.064;64;0;4;3;3;1105.87537;499.3293026;327.4939181
Col d'Estivere;Jurassic;180.827451;2.4556;0.892490192;11.8176462;16.942;51;3.7;1;2;1;162.8304057;81.4166449;120.7040418
Cold Fish Volcanics;Jurassic;186.566;3.2692;0.891306783;11.728157;26.552;25;6.85;2;1;2;111.3238716;55.66193578;82.52438599
Cook Mountain;Paleogene;39.29769231;13.603;0.909540239;14.792172;180.466;130;13.4;7;4;2;2176.320873;397.5527119;372.5152722
Copacabana;Permian;295.4488636;9.5782;0.818841315;5.894464271;50.542;44;9.7;8;3;3;540.2175323;230.739683;288.5872666
Corryville;Ordovician;450.692;6.6351;0.820326795;7.594047166;45.146;50;2.9;2;1;4;86.51446231;43.25729836;64.13307127
Corsicana Marl;Cretaceous;68.3215;14.8049;0.891863443;11.19555331;152.722;140;0;3;1;3;673.6237586;241.42658;192.8902755
Cotinguiba;Cretaceous;91.73103448;3.1896;0.945021548;18.83091095;40.862;87;4.25;4;2;3;0;0;0
Coyote Butte;Permian;276;6.5686;0.857412056;8.212771921;45.078;48;0;1;1;1;80.07920108;40.03960054;59.36271176
Crown Point;Ordovician;462.5132653;10.0934;0.87925896;9.484745697;86.094;49;2.9;8;2;4;954.2743385;124.0303278;183.887364
Csopak Marl;Triassic;249.75;3.0345;0.828814445;5.33231586;10.774;37;0;1;1;1;0;0;0
Culebra;Neogene;20.55833333;12.7422;0.902588692;11.90504049;138.154;48;2.1;4;2;2;111.3238716;55.66200299;82.52428635
Dalong;Permian;253.3994681;5.7879;0.942159584;17.47738013;82.046;94;3.35;22;4;3;1556.805127;630.4568614;365.5193581
Dawan;Ordovician;473.05;6.7374;0.874062958;10.46967284;59.318;42;1.05;10;2;4;1828.009285;588.709576;438.0733829
Daye;Triassic;251.5723214;4.1414;0.908951646;12.1454187;37.88;56;2.55;3;2;2;1103.451674;348.0003191;515.9452731
Day Point;Ordovician;462.6384615;7.3323;0.898695807;10.66216281;67.838;39;2.9;6;3;4;954.2743385;111.3238716;165.048772
Deadwood;Ordovician;481.1568182;8.1676;0.921142433;12.34696762;88.44;22;11.15;3;2;3;1298.198685;489.1174451;369.0067079
Denay Limestone;Devonian;390;7.4021;0.889834975;12.84823277;81.598;41;0;3;4;3;111.3238716;55.66198331;82.52431554
