"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","basin","Plate","Trilobita","Brachiopoda","Mollusca","Echinodermata"
"12",434.669105691057,4.583,0.908414695980143,14.2535392443172,0.848786200510292,0.894347703442265,50.69,123,5.39999999999998,10,"Jupiter",4,81.3008130081301,8.13008130081301,1.6260162601626,0,8.94308943089431,0,0,101,40,86,1,3
"13",444.65,3.7321,0.887750718396874,10.5996637506426,0.843376865535837,0.89757654810482,28.652,54,0,4,"Kuldiga",1,100,0,0,0,0,0,0,301,3,38,0,0
"14",435.185714285714,3.3726,0.898406341395264,16.3674351873117,0.889907050330379,0.920052660847924,37.914,35,15.8,4,"Laketown Dolomite",2,0,68.5714285714286,0,0,31.4285714285714,0,0,101,2,49,0,2
"15",446.6,6.4148,0.781488999820552,6.23540990366273,0.491678949155716,0.63304474994179,35.03,68,0,5,"Liberty",4,2.94117647058824,85.2941176470588,1.47058823529412,0,10.2941176470588,0,0,101,15,36,12,15
"16",450.75,6.5303,0.920287961028733,15.8292828883326,0.906474104271699,0.940605456347918,89.37,25,0,1,"Lorraine",1,100,0,0,0,0,0,0,101,19,60,29,0
"17",425.936538461538,17.9557,0.930326224847054,12.4457429775132,0.917772812312828,0.95240423522273,210.824,26,7.55000000000001,4,"Motol",1,100,0,0,0,0,0,0,305,77,152,14,5
"18",450.75,5.6546,0.801452022351648,5.83608474043673,0.574672435180519,0.706535462856764,27.67,35,0,2,"Mount Auburn",1,0,0,0,0,100,0,0,101,7,16,7,8
"19",446.6,6.6865,0.811602408093148,6.03307795481771,0.552392214775339,0.689548755601124,35.298,35,0,1,"Oregonia",1,0,0,0,0,100,0,0,101,6,32,8,4
"20",426.009523809524,18.1024,0.875852362035785,8.50598734657521,0.793354214816499,0.865203286329377,145.736,42,7.75,6,"Rochester",3,33.3333333333333,64.2857142857143,0,2.38095238095238,0,0,0,101,25,126,17,46
"21",435.95,4.0879,0.856324708726315,6.77758989320323,0.736702807046754,0.825682333631281,20.84,37,0,1,"Ross Brook",1,0,100,0,0,0,0,0,108,2,19,4,0
"22",435.95,5.9844,0.812095943131558,10.187987429451,0.549846622325043,0.681496430090377,55.246,30,0,1,"Ross Point",1,0,100,0,0,0,0,0,108,11,44,6,17
"23",429.534,15.2827,0.871987820135654,8.4945780581865,0.853196312609273,0.912875951586125,120.966,25,7.75,2,"Scotch Grove",1,0,100,0,0,0,0,0,101,17,70,1,45
"24",450.7,4.799,0.849994073745738,8.96936800174345,0.881416475643881,0.922422728985434,33.756,26,0,1,"Slade and Redhill Mudstone",1,100,0,0,0,0,0,0,315,0,38,0,0
"25",438.365151515152,9.0137,0.866670870950818,8.44786255422459,0.787125258276159,0.864189265612783,67.41,33,5.40000000000003,6,"Solvik",2,96.969696969697,3.03030303030303,0,0,0,0,0,301,10,69,2,3
"26",446.6,5.1853,0.80799519341396,4.68361868992005,0.535921431483893,0.676414941345205,19.548,59,0,1,"Sunset",2,0,93.2203389830508,0,0,6.77966101694915,0,0,101,4,15,5,5
"27",450.148739495798,2.678,0.876975579639195,14.1729493516668,0.782156838792442,0.838229222560296,24.008,119,4.09999999999997,5,"Vaureal",2,99.1596638655462,0,0,0,0,0,0.840336134453782,101,14,50,8,5
"28",446.632580645161,6.2842,0.88187982627474,9.28465022959948,0.77290094864493,0.854414484505952,49.86,155,4.09999999999997,10,"Waynesville",2,14.8387096774194,85.1612903225806,0,0,0,0,0,101,12,72,52,17
"29",442.444927536232,5.4191,0.958895936626997,18.5285335881685,0.963553908599586,0.9766645411509,81.608,69,10.65,9,"White Head",3,72.463768115942,18.8405797101449,0,0,8.69565217391304,0,0,101,89,90,9,1
"30",446.6,5.4605,0.842307860855254,8.89469181603177,0.650155367794053,0.762660566098467,42.116,73,0,5,"Whitewater",2,2.73972602739726,0,0,0,97.2602739726027,0,0,101,8,60,24,14
"31",433.790625,9.2673,0.925714340652123,13.118788374187,0.933545772695954,0.954628837850359,107.982,32,19.1,5,"Whittaker",3,0,84.375,0,0,9.375,0,6.25,101,64,69,0,0
